1 36  303.84469  160.95947  417.32962 -106.16943  -79.43895  242.85882  -93.59600  -88.89998   94.37850  241.86115    0.45471    0.23443    0.08146    0.28334    0.23646   -0.03209    0.05175    0.17948   -0.00823    0.03809   -0.01422   -0.05669    0.04452   -0.04943    0.07420    0.08371   59.25828   56.41232   18.57125   15.70688    0.03470    0.01304    0.01041    0.02509    0.02828    0.00470    0.03344    0.01949    0.00131    0.01085    0.02506    0.01207    0.04247    0.00831    0.00938    0.01095   87.72779   69.41843  105.75620  -60.58818  -39.90930  186.44547  -37.92714  -29.62589  161.14841  173.10040
1 37  300.32838  156.62996  412.43829 -102.91964  -76.62643  239.63930  -93.02439  -88.09290   90.91164  239.46092    0.45894    0.21926    0.08864    0.26517    0.22722   -0.01204    0.02343    0.16997   -0.01273    0.02170    0.01085   -0.06597    0.03417   -0.06037    0.10056    0.07589   58.33298   55.05925   19.27379   16.04721    0.03702    0.01423    0.00985    0.02038    0.03019    0.00555    0.03230    0.01869    0.00169    0.01085    0.02798    0.01168    0.04266    0.00858    0.01192    0.01084   98.01924   82.13264  122.91250  -56.58945  -27.01691  228.22059  -33.90178  -17.01645  186.73406  188.94273
1 38  295.92429  152.79606  411.10811 -102.83855  -75.47989  240.66354  -89.20640  -86.58565   91.12811  239.96459    0.43698    0.21324    0.09384    0.26795    0.23973   -0.02897    0.07002    0.19752   -0.00984    0.02050   -0.00582   -0.06972    0.02879   -0.06079    0.08707    0.07160   60.08151   55.96419   20.16031   17.29900    0.03969    0.01378    0.01196    0.01949    0.01990    0.00594    0.03389    0.01806    0.00195    0.00965    0.02838    0.00989    0.03612    0.00788    0.01088    0.01067  143.27260  113.23170  144.41210  -82.33585  -58.83745  211.28008  -41.69458  -36.08053  170.52764  179.02058
1 39  292.59252  153.36572  412.32429 -103.19844  -75.28479  243.07988  -91.63170  -88.54265   94.61831  244.62275    0.40153    0.23458    0.07574    0.27908    0.22165   -0.02533    0.06509    0.17460   -0.00670    0.01471   -0.04771   -0.05736    0.01577   -0.06765    0.08498    0.06234   61.21766   56.56973   18.63367   15.24550    0.03878    0.01476    0.01491    0.01983    0.02458    0.00692    0.04210    0.02119    0.00171    0.01011    0.02961    0.00772    0.03071    0.00859    0.01066    0.01029  112.73765   92.53625  137.19615  -67.37057  -47.17897  185.64632  -51.79672  -43.25447  166.09543  191.28272
1 40  290.07835  152.93301  416.47045 -101.98973  -74.86935  240.30459  -91.52714  -90.44207   92.35971  245.69865    0.37784    0.23114    0.09006    0.25404    0.21257   -0.02405    0.06153    0.17693   -0.00495    0.01403   -0.03848   -0.06734    0.01802   -0.06661    0.07897    0.07488   60.30427   56.20803   19.83119   17.02627    0.03467    0.01164    0.01135    0.01681    0.02381    0.00494    0.03165    0.01641    0.00165    0.00760    0.02812    0.00826    0.02632    0.00887    0.00958    0.00979  120.58780   87.65411  123.66047  -75.45723  -52.77352  201.17516  -43.34387  -29.16722  165.60955  178.86088
1 41  288.64871  153.73116  419.11283 -102.81155  -78.01346  240.80141  -90.78930  -89.59504   92.10664  244.34869    0.38559    0.22769    0.09103    0.25751    0.22629   -0.02889    0.02707    0.16407   -0.00995    0.01892   -0.04219   -0.07082    0.04121   -0.07315    0.09081    0.06316   61.63793   57.31186   18.53563   15.80680    0.03952    0.01534    0.00850    0.01927    0.02790    0.00516    0.03240    0.01916    0.00160    0.00661    0.02368    0.00914    0.03482    0.00880    0.01071    0.01217  113.81341   96.93328  147.71389  -70.30896  -52.70371  234.66832  -39.23486  -32.47821  192.86568  202.40185
1 42  287.88898  154.38605  422.39450 -103.65587  -78.19362  240.19668  -90.36178  -89.08976   91.26053  241.79109    0.37299    0.22543    0.08636    0.26422    0.22733   -0.02257    0.02632    0.17111   -0.01421    0.01435   -0.03288   -0.06315    0.03230   -0.06417    0.07974    0.04494   60.92260   57.08236   19.85447   17.54014    0.03267    0.01082    0.00996    0.02022    0.02246    0.00559    0.03745    0.01841    0.00150    0.00679    0.02639    0.00903    0.02834    0.01064    0.00855    0.00972  121.21166   93.87208  149.67112  -75.99930  -60.36242  200.38767  -34.96071  -33.21841  152.35866  170.65342
1 43  290.18266  157.04151  426.86083 -108.14026  -81.63991  243.11237  -92.93684  -93.04151   94.02000  245.61962    0.37137    0.22662    0.08189    0.22799    0.23254   -0.03332    0.03128    0.17536   -0.02171    0.01073   -0.04950   -0.07916    0.02337   -0.06057    0.08655    0.06198   63.08273   58.35164   19.27304   16.31819    0.04369    0.01173    0.00837    0.03285    0.02545    0.00578    0.02987    0.01639    0.00175    0.00596    0.02055    0.01047    0.02398    0.00778    0.00896    0.00908  146.64667  122.33554  155.73096 -119.61104  -65.70314  300.75539  -82.02599  -41.75680  250.43418  255.69654
1 44  288.00324  156.30999  421.20386 -105.62117  -79.17707  241.28320  -91.59795  -90.38650   94.46827  245.19363    0.34664    0.23171    0.09435    0.24423    0.23681   -0.02244    0.04020    0.16418   -0.02414    0.00599   -0.05847   -0.08091    0.04323   -0.05830    0.06844    0.07300   61.82825   58.04792   20.18875   16.32879    0.03262    0.01202    0.00915    0.02464    0.02365    0.00445    0.03205    0.01596    0.00158    0.00604    0.01880    0.01085    0.02254    0.00784    0.00778    0.00832  138.88211  119.29585  162.11104  -64.00432  -29.20594  207.24599  -30.82752  -12.33998  170.48164  182.07454
1 45  286.14918  153.82330  416.90139 -104.60973  -78.51421  239.70341  -92.26721  -88.69077   92.77907  244.43029    0.38049    0.22800    0.08732    0.25263    0.23238   -0.03154    0.04633    0.15868   -0.02555    0.00582   -0.05028   -0.07434    0.02706   -0.07169    0.06819    0.07193   63.49389   58.97560   16.77121   13.57897    0.03640    0.01377    0.00881    0.01960    0.02226    0.00453    0.02857    0.01560    0.00162    0.00532    0.01868    0.01099    0.02231    0.00647    0.00703    0.00992  143.77181  119.67306  161.05878  -73.61770  -62.59018  230.63795  -40.57561  -47.51104  185.97878  197.37572
